Index,Concept Code,Concept Name,Preferred Concept Name
160,05093,Mississippi,"Mississippi, AR"
161,05095,Monroe,"Monroe, AR"
162,05097,Montgomery,"Montgomery, AR"
163,05099,Nevada,"Nevada, AR"
164,05101,Newton,"Newton, AR"
165,05103,Ouachita,"Ouachita, AR"
166,05105,Perry,"Perry, AR"
167,05107,Phillips,"Phillips, AR"
168,05109,Pike,"Pike, AR"
169,05111,Poinsett,"Poinsett, AR"
170,05113,Polk,"Polk, AR"
171,05115,Pope,"Pope, AR"
172,05117,Prairie,"Prairie, AR"
173,05119,Pulaski,"Pulaski, AR"
174,05121,Randolph,"Randolph, AR"
175,05123,St. Francis,"St. Francis, AR"
176,05125,Saline,"Saline, AR"
177,05127,Scott,"Scott, AR"
178,05129,Searcy,"Searcy, AR"
179,05131,Sebastian,"Sebastian, AR"
180,05133,Sevier,"Sevier, AR"
181,05135,Sharp,"Sharp, AR"
182,05137,Stone,"Stone, AR"
183,05139,Union,"Union, AR"
184,05141,Van Buren,"Van Buren, AR"
185,05143,Washington,"Washington, AR"
186,05145,White,"White, AR"
187,05147,Woodruff,"Woodruff, AR"
188,05149,Yell,"Yell, AR"
189,06001,Alameda,"Alameda, CA"
190,06003,Alpine,"Alpine, CA"
191,06005,Amador,"Amador, CA"
192,06007,Butte,"Butte, CA"
193,06009,Calaveras,"Calaveras, CA"
194,06011,Colusa,"Colusa, CA"
195,06013,Contra Costa,"Contra Costa, CA"
196,06015,Del Norte,"Del Norte, CA"
197,06017,El Dorado,"El Dorado, CA"
198,06019,Fresno,"Fresno, CA"
199,06021,Glenn,"Glenn, CA"
200,06023,Humboldt,"Humboldt, CA"
201,06025,Imperial,"Imperial, CA"
202,06027,Inyo,"Inyo, CA"
203,06029,Kern,"Kern, CA"
204,06031,Kings,"Kings, CA"
205,06033,Lake,"Lake, CA"
206,06035,Lassen,"Lassen, CA"
207,06037,Los Angeles,"Los Angeles, CA"
208,06039,Madera,"Madera, CA"
209,06041,Marin,"Marin, CA"
210,06043,Mariposa,"Mariposa, CA"
211,06045,Mendocino,"Mendocino, CA"
212,06047,Merced,"Merced, CA"
213,06049,Modoc,"Modoc, CA"
214,06051,Mono,"Mono, CA"
215,06053,Monterey,"Monterey, CA"
216,06055,Napa,"Napa, CA"
217,06057,Nevada,"Nevada, CA"
218,06059,Orange,"Orange, CA"
219,06061,Placer,"Placer, CA"
220,06063,Plumas,"Plumas, CA"
221,06065,Riverside,"Riverside, CA"
222,06067,Sacramento,"Sacramento, CA"
223,06069,San Benito,"San Benito, CA"
224,06071,San Bernardino,"San Bernardino, CA"
225,06073,San Diego,"San Diego, CA"
226,06075,San Francisco,"San Francisco, CA"
227,06077,San Joaquin,"San Joaquin, CA"
228,06079,San Luis Obispo,"San Luis Obispo, CA"
229,06081,San Mateo,"San Mateo, CA"
230,06083,Santa Barbara,"Santa Barbara, CA"
231,06085,Santa Clara,"Santa Clara, CA"
232,06087,Santa Cruz,"Santa Cruz, CA"
233,06089,Shasta,"Shasta, CA"
234,06091,Sierra,"Sierra, CA"
235,06093,Siskiyou,"Siskiyou, CA"
236,06095,Solano,"Solano, CA"
237,06097,Sonoma,"Sonoma, CA"
238,06099,Stanislaus,"Stanislaus, CA"
239,06101,Sutter,"Sutter, CA"
240,06103,Tehama,"Tehama, CA"
241,06105,Trinity,"Trinity, CA"
242,06107,Tulare,"Tulare, CA"
243,06109,Tuolumne,"Tuolumne, CA"
244,06111,Ventura,"Ventura, CA"
245,06113,Yolo,"Yolo, CA"
246,06115,Yuba,"Yuba, CA"
247,08001,Adams,"Adams, CO"
248,08003,Alamosa,"Alamosa, CO"
249,08005,Arapahoe,"Arapahoe, CO"
250,08007,Archuleta,"Archuleta, CO"
251,08009,Baca,"Baca, CO"
252,08011,Bent,"Bent, CO"
253,08013,Boulder,"Boulder, CO"
254,08014,Broomfield,"Broomfield, CO"
255,08015,Chaffee,"Chaffee, CO"
256,08017,Cheyenne,"Cheyenne, CO"
257,08019,Clear Creek,"Clear Creek, CO"
258,08021,Conejos,"Conejos, CO"
259,08023,Costilla,"Costilla, CO"
260,08025,Crowley,"Crowley, CO"
261,08027,Custer,"Custer, CO"
262,08029,Delta,"Delta, CO"
263,08031,Denver,"Denver, CO"
264,08033,Dolores,"Dolores, CO"
265,08035,Douglas,"Douglas, CO"
266,08037,Eagle,"Eagle, CO"
267,08039,Elbert,"Elbert, CO"
268,08041,El Paso,"El Paso, CO"
269,08043,Fremont,"Fremont, CO"
270,08045,Garfield,"Garfield, CO"
271,08047,Gilpin,"Gilpin, CO"
272,08049,Grand,"Grand, CO"
273,08051,Gunnison,"Gunnison, CO"
274,08053,Hinsdale,"Hinsdale, CO"
275,08055,Huerfano,"Huerfano, CO"
276,08057,Jackson,"Jackson, CO"
277,08059,Jefferson,"Jefferson, CO"
278,08061,Kiowa,"Kiowa, CO"
279,08063,Kit Carson,"Kit Carson, CO"
280,08065,Lake,"Lake, CO"
281,08067,La Plata,"La Plata, CO"
282,08069,Larimer,"Larimer, CO"
283,08071,Las Animas,"Las Animas, CO"
284,08073,Lincoln,"Lincoln, CO"
285,08075,Logan,"Logan, CO"
286,08077,Mesa,"Mesa, CO"
287,08079,Mineral,"Mineral, CO"
288,08081,Moffat,"Moffat, CO"
289,08083,Montezuma,"Montezuma, CO"
290,08085,Montrose,"Montrose, CO"
291,08087,Morgan,"Morgan, CO"
292,08089,Otero,"Otero, CO"
293,08091,Ouray,"Ouray, CO"
294,08093,Park,"Park, CO"
295,08095,Phillips,"Phillips, CO"
296,08097,Pitkin,"Pitkin, CO"
297,08099,Prowers,"Prowers, CO"
298,08101,Pueblo,"Pueblo, CO"
299,08103,Rio Blanco,"Rio Blanco, CO"
300,08105,Rio Grande,"Rio Grande, CO"
301,08107,Routt,"Routt, CO"
302,08109,Saguache,"Saguache, CO"
303,08111,San Juan,"San Juan, CO"
304,08113,San Miguel,"San Miguel, CO"
305,08115,Sedgwick,"Sedgwick, CO"
306,08117,Summit,"Summit, CO"
307,08119,Teller,"Teller, CO"
308,08121,Washington,"Washington, CO"
309,08123,Weld,"Weld, CO"
310,08125,Yuma,"Yuma, CO"
311,09001,Fairfield,"Fairfield, CT"
312,09003,Hartford,"Hartford, CT"
313,09005,Litchfield,"Litchfield, CT"
314,09007,Middlesex,"Middlesex, CT"
315,09009,New Haven,"New Haven, CT"
316,09011,New London,"New London, CT"
317,09013,Tolland,"Tolland, CT"
318,09015,Windham,"Windham, CT"
319,10001,Kent,"Kent, DE"
320,10003,New Castle,"New Castle, DE"
321,10005,Sussex,"Sussex, DE"
322,11001,District of Columbia,"District of Columbia, DC"
323,12001,Alachua,"Alachua, FL"
324,12003,Baker,"Baker, FL"
325,12005,Bay,"Bay, FL"
326,12007,Bradford,"Bradford, FL"
327,12009,Brevard,"Brevard, FL"
328,12011,Broward,"Broward, FL"
329,12013,Calhoun,"Calhoun, FL"
330,12015,Charlotte,"Charlotte, FL"
331,12017,Citrus,"Citrus, FL"
332,12019,Clay,"Clay, FL"
333,12021,Collier,"Collier, FL"
334,12023,Columbia,"Columbia, FL"
335,12027,DeSoto,"DeSoto, FL"
336,12029,Dixie,"Dixie, FL"
337,12031,Duval,"Duval, FL"
338,12033,Escambia,"Escambia, FL"
339,12035,Flagler,"Flagler, FL"
340,12037,Franklin,"Franklin, FL"
341,12039,Gadsden,"Gadsden, FL"
342,12041,Gilchrist,"Gilchrist, FL"
343,12043,Glades,"Glades, FL"
344,12045,Gulf,"Gulf, FL"
345,12047,Hamilton,"Hamilton, FL"
346,12049,Hardee,"Hardee, FL"
347,12051,Hendry,"Hendry, FL"
348,12053,Hernando,"Hernando, FL"
349,12055,Highlands,"Highlands, FL"
350,12057,Hillsborough,"Hillsborough, FL"
351,12059,Holmes,"Holmes, FL"
352,12061,Indian River,"Indian River, FL"
353,12063,Jackson,"Jackson, FL"
354,12065,Jefferson,"Jefferson, FL"
355,12067,Lafayette,"Lafayette, FL"
356,12069,Lake,"Lake, FL"
357,12071,Lee,"Lee, FL"
358,12073,Leon,"Leon, FL"
359,12075,Levy,"Levy, FL"
360,12077,Liberty,"Liberty, FL"
361,12079,Madison,"Madison, FL"
362,12081,Manatee,"Manatee, FL"
363,12083,Marion,"Marion, FL"
364,12085,Martin,"Martin, FL"
365,12086,Miami-Dade,"Miami-Dade, FL"
366,12087,Monroe,"Monroe, FL"
367,12089,Nassau,"Nassau, FL"
368,12091,Okaloosa,"Okaloosa, FL"
369,12093,Okeechobee,"Okeechobee, FL"
370,12095,Orange,"Orange, FL"
371,12097,Osceola,"Osceola, FL"
372,12099,Palm Beach,"Palm Beach, FL"
373,12101,Pasco,"Pasco, FL"
374,12103,Pinellas,"Pinellas, FL"
375,12105,Polk,"Polk, FL"
376,12107,Putnam,"Putnam, FL"
377,12109,St. Johns,"St. Johns, FL"
378,12111,St. Lucie,"St. Lucie, FL"
379,12113,Santa Rosa,"Santa Rosa, FL"
380,12115,Sarasota,"Sarasota, FL"
381,12117,Seminole,"Seminole, FL"
382,12119,Sumter,"Sumter, FL"
383,12121,Suwannee,"Suwannee, FL"
384,12123,Taylor,"Taylor, FL"
385,12125,Union,"Union, FL"
386,12127,Volusia,"Volusia, FL"
387,12129,Wakulla,"Wakulla, FL"
388,12131,Walton,"Walton, FL"
389,12133,Washington,"Washington, FL"
390,13001,Appling,"Appling, GA"
391,13003,Atkinson,"Atkinson, GA"
392,13005,Bacon,"Bacon, GA"
393,13007,Baker,"Baker, GA"
394,13009,Baldwin,"Baldwin, GA"
395,13011,Banks,"Banks, GA"
396,13013,Barrow,"Barrow, GA"
397,13015,Bartow,"Bartow, GA"
398,13017,Ben Hill,"Ben Hill, GA"
399,13019,Berrien,"Berrien, GA"
400,13021,Bibb,"Bibb, GA"
401,13023,Bleckley,"Bleckley, GA"
402,13025,Brantley,"Brantley, GA"
403,13027,Brooks,"Brooks, GA"
404,13029,Bryan,"Bryan, GA"
405,13031,Bulloch,"Bulloch, GA"
406,13033,Burke,"Burke, GA"
407,13035,Butts,"Butts, GA"
408,13037,Calhoun,"Calhoun, GA"
409,13039,Camden,"Camden, GA"
410,13043,Candler,"Candler, GA"
411,13045,Carroll,"Carroll, GA"
412,13047,Catoosa,"Catoosa, GA"
413,13049,Charlton,"Charlton, GA"
414,13051,Chatham,"Chatham, GA"
415,13053,Chattahoochee,"Chattahoochee, GA"
416,13055,Chattooga,"Chattooga, GA"
417,13057,Cherokee,"Cherokee, GA"
418,13059,Clarke,"Clarke, GA"
419,13061,Clay,"Clay, GA"
420,13063,Clayton,"Clayton, GA"
421,13065,Clinch,"Clinch, GA"
422,13067,Cobb,"Cobb, GA"
423,13069,Coffee,"Coffee, GA"
424,13071,Colquitt,"Colquitt, GA"
425,13073,Columbia,"Columbia, GA"
426,13075,Cook,"Cook, GA"
427,13077,Coweta,"Coweta, GA"
428,13079,Crawford,"Crawford, GA"
429,13081,Crisp,"Crisp, GA"
430,13083,Dade,"Dade, GA"
431,13085,Dawson,"Dawson, GA"
432,13087,Decatur,"Decatur, GA"
433,13089,DeKalb,"DeKalb, GA"
434,13091,Dodge,"Dodge, GA"
435,13093,Dooly,"Dooly, GA"
436,13095,Dougherty,"Dougherty, GA"
437,13097,Douglas,"Douglas, GA"
438,13099,Early,"Early, GA"
439,13101,Echols,"Echols, GA"
440,13103,Effingham,"Effingham, GA"
441,13105,Elbert,"Elbert, GA"
442,13107,Emanuel,"Emanuel, GA"
443,13109,Evans,"Evans, GA"
444,13111,Fannin,"Fannin, GA"
445,13113,Fayette,"Fayette, GA"
446,13115,Floyd,"Floyd, GA"
447,13117,Forsyth,"Forsyth, GA"
448,13119,Franklin,"Franklin, GA"
449,13121,Fulton,"Fulton, GA"
450,13123,Gilmer,"Gilmer, GA"
451,13125,Glascock,"Glascock, GA"
452,13127,Glynn,"Glynn, GA"
453,13129,Gordon,"Gordon, GA"
454,13131,Grady,"Grady, GA"
455,13133,Greene,"Greene, GA"
456,13135,Gwinnett,"Gwinnett, GA"
457,13137,Habersham,"Habersham, GA"
458,13139,Hall,"Hall, GA"
459,13141,Hancock,"Hancock, GA"
460,13143,Haralson,"Haralson, GA"
461,13145,Harris,"Harris, GA"
462,13147,Hart,"Hart, GA"
463,13149,Heard,"Heard, GA"
464,13151,Henry,"Henry, GA"
465,13153,Houston,"Houston, GA"
466,13155,Irwin,"Irwin, GA"
467,13157,Jackson,"Jackson, GA"
468,13159,Jasper,"Jasper, GA"
469,13161,Jeff Davis,"Jeff Davis, GA"
470,13163,Jefferson,"Jefferson, GA"
471,13165,Jenkins,"Jenkins, GA"
472,13167,Johnson,"Johnson, GA"
473,13169,Jones,"Jones, GA"
474,13171,Lamar,"Lamar, GA"
475,13173,Lanier,"Lanier, GA"
476,13175,Laurens,"Laurens, GA"
477,13177,Lee,"Lee, GA"
478,13179,Liberty,"Liberty, GA"
479,13181,Lincoln,"Lincoln, GA"
480,13183,Long,"Long, GA"
481,13185,Lowndes,"Lowndes, GA"
482,13187,Lumpkin,"Lumpkin, GA"
483,13189,McDuffie,"McDuffie, GA"
484,13191,McIntosh,"McIntosh, GA"
485,13193,Macon,"Macon, GA"
486,13195,Madison,"Madison, GA"
487,13197,Marion,"Marion, GA"
488,13199,Meriwether,"Meriwether, GA"
489,13201,Miller,"Miller, GA"
490,13205,Mitchell,"Mitchell, GA"
491,13207,Monroe,"Monroe, GA"
492,13209,Montgomery,"Montgomery, GA"
493,13211,Morgan,"Morgan, GA"
494,13213,Murray,"Murray, GA"
495,13215,Muscogee,"Muscogee, GA"
496,13217,Newton,"Newton, GA"
497,13219,Oconee,"Oconee, GA"
498,13221,Oglethorpe,"Oglethorpe, GA"
499,13223,Paulding,"Paulding, GA"
500,13225,Peach,"Peach, GA"
501,13227,Pickens,"Pickens, GA"
502,13229,Pierce,"Pierce, GA"
503,13231,Pike,"Pike, GA"
504,13233,Polk,"Polk, GA"
505,13235,Pulaski,"Pulaski, GA"
506,13237,Putnam,"Putnam, GA"
507,13239,Quitman,"Quitman, GA"
508,13241,Rabun,"Rabun, GA"
509,13243,Randolph,"Randolph, GA"
510,13245,Richmond,"Richmond, GA"
511,13247,Rockdale,"Rockdale, GA"
512,13249,Schley,"Schley, GA"
513,13251,Screven,"Screven, GA"
514,13253,Seminole,"Seminole, GA"
515,13255,Spalding,"Spalding, GA"
516,13257,Stephens,"Stephens, GA"
517,13259,Stewart,"Stewart, GA"
518,13261,Sumter,"Sumter, GA"
519,13263,Talbot,"Talbot, GA"
520,13265,Taliaferro,"Taliaferro, GA"
521,13267,Tattnall,"Tattnall, GA"
522,13269,Taylor,"Taylor, GA"
523,13271,Telfair,"Telfair, GA"
524,13273,Terrell,"Terrell, GA"
525,13275,Thomas,"Thomas, GA"
526,13277,Tift,"Tift, GA"
527,13279,Toombs,"Toombs, GA"
528,13281,Towns,"Towns, GA"
529,13283,Treutlen,"Treutlen, GA"
530,13285,Troup,"Troup, GA"
531,13287,Turner,"Turner, GA"
532,13289,Twiggs,"Twiggs, GA"
533,13291,Union,"Union, GA"
534,13293,Upson,"Upson, GA"
535,13295,Walker,"Walker, GA"
536,13297,Walton,"Walton, GA"
537,13299,Ware,"Ware, GA"
538,13301,Warren,"Warren, GA"
539,13303,Washington,"Washington, GA"
540,13305,Wayne,"Wayne, GA"
541,13307,Webster,"Webster, GA"
542,13309,Wheeler,"Wheeler, GA"
543,13311,White,"White, GA"
544,13313,Whitfield,"Whitfield, GA"
545,13315,Wilcox,"Wilcox, GA"
546,13317,Wilkes,"Wilkes, GA"
547,13319,Wilkinson,"Wilkinson, GA"
548,13321,Worth,"Worth, GA"
549,15001,Hawaii,"Hawaii, HI"
550,15003,Honolulu,"Honolulu, HI"
551,15005,Kalawao,"Kalawao, HI"
552,15007,Kauai,"Kauai, HI"
553,15009,Maui,"Maui, HI"
554,16001,Ada,"Ada, ID"
555,16003,Adams,"Adams, ID"
556,16005,Bannock,"Bannock, ID"
557,16007,Bear Lake,"Bear Lake, ID"
558,16009,Benewah,"Benewah, ID"
559,16011,Bingham,"Bingham, ID"
560,16013,Blaine,"Blaine, ID"
561,16015,Boise,"Boise, ID"
562,16017,Bonner,"Bonner, ID"
563,16019,Bonneville,"Bonneville, ID"
564,16021,Boundary,"Boundary, ID"
565,16023,Butte,"Butte, ID"
566,16025,Camas,"Camas, ID"
567,16027,Canyon,"Canyon, ID"
568,16029,Caribou,"Caribou, ID"
569,16031,Cassia,"Cassia, ID"
570,16033,Clark,"Clark, ID"
571,16035,Clearwater,"Clearwater, ID"
572,16037,Custer,"Custer, ID"
573,16039,Elmore,"Elmore, ID"
574,16041,Franklin,"Franklin, ID"
575,16043,Fremont,"Fremont, ID"
576,16045,Gem,"Gem, ID"
577,16047,Gooding,"Gooding, ID"
578,16049,Idaho,"Idaho, ID"
579,16051,Jefferson,"Jefferson, ID"
580,16053,Jerome,"Jerome, ID"
581,16055,Kootenai,"Kootenai, ID"
582,16057,Latah,"Latah, ID"
583,16059,Lemhi,"Lemhi, ID"
584,16061,Lewis,"Lewis, ID"
585,16063,Lincoln,"Lincoln, ID"
586,16065,Madison,"Madison, ID"
587,16067,Minidoka,"Minidoka, ID"
588,16069,Nez Perce,"Nez Perce, ID"
589,16071,Oneida,"Oneida, ID"
590,16073,Owyhee,"Owyhee, ID"
591,16075,Payette,"Payette, ID"
592,16077,Power,"Power, ID"
593,16079,Shoshone,"Shoshone, ID"
594,16081,Teton,"Teton, ID"
595,16083,Twin Falls,"Twin Falls, ID"
596,16085,Valley,"Valley, ID"
597,16087,Washington,"Washington, ID"
598,17001,Adams,"Adams, IL"
599,17003,Alexander,"Alexander, IL"
600,17005,Bond,"Bond, IL"
601,17007,Boone,"Boone, IL"
602,17009,Brown,"Brown, IL"
603,17011,Bureau,"Bureau, IL"
604,17013,Calhoun,"Calhoun, IL"
605,17015,Carroll,"Carroll, IL"
606,17017,Cass,"Cass, IL"
607,17019,Champaign,"Champaign, IL"
608,17021,Christian,"Christian, IL"
609,17023,Clark,"Clark, IL"
610,17025,Clay,"Clay, IL"
611,17027,Clinton,"Clinton, IL"
612,17029,Coles,"Coles, IL"
613,17031,Cook,"Cook, IL"
614,17033,Crawford,"Crawford, IL"
615,17035,Cumberland,"Cumberland, IL"
616,17037,DeKalb,"DeKalb, IL"
617,17039,De Witt,"De Witt, IL"
618,17041,Douglas,"Douglas, IL"
619,17043,DuPage,"DuPage, IL"
620,17045,Edgar,"Edgar, IL"
621,17047,Edwards,"Edwards, IL"
622,17049,Effingham,"Effingham, IL"
623,17051,Fayette,"Fayette, IL"
624,17053,Ford,"Ford, IL"
625,17055,Franklin,"Franklin, IL"
626,17057,Fulton,"Fulton, IL"
627,17059,Gallatin,"Gallatin, IL"
628,17061,Greene,"Greene, IL"
629,17063,Grundy,"Grundy, IL"
630,17065,Hamilton,"Hamilton, IL"
631,17067,Hancock,"Hancock, IL"
632,17069,Hardin,"Hardin, IL"
633,17071,Henderson,"Henderson, IL"
634,17073,Henry,"Henry, IL"
635,17075,Iroquois,"Iroquois, IL"
636,17077,Jackson,"Jackson, IL"
637,17079,Jasper,"Jasper, IL"
638,17081,Jefferson,"Jefferson, IL"
639,17083,Jersey,"Jersey, IL"
640,17085,Jo Daviess,"Jo Daviess, IL"
641,17087,Johnson,"Johnson, IL"
642,17089,Kane,"Kane, IL"
643,17091,Kankakee,"Kankakee, IL"
644,17093,Kendall,"Kendall, IL"
645,17095,Knox,"Knox, IL"
646,17097,Lake,"Lake, IL"
647,17099,LaSalle,"LaSalle, IL"
648,17101,Lawrence,"Lawrence, IL"
649,17103,Lee,"Lee, IL"
650,17105,Livingston,"Livingston, IL"
651,17107,Logan,"Logan, IL"
652,17109,McDonough,"McDonough, IL"
653,17111,McHenry,"McHenry, IL"
654,17113,McLean,"McLean, IL"
655,17115,Macon,"Macon, IL"
656,17117,Macoupin,"Macoupin, IL"
657,17119,Madison,"Madison, IL"
658,17121,Marion,"Marion, IL"
659,17123,Marshall,"Marshall, IL"
660,17125,Mason,"Mason, IL"
661,17127,Massac,"Massac, IL"
662,17129,Menard,"Menard, IL"
663,17131,Mercer,"Mercer, IL"
664,17133,Monroe,"Monroe, IL"
665,17135,Montgomery,"Montgomery, IL"
666,17137,Morgan,"Morgan, IL"
667,17139,Moultrie,"Moultrie, IL"
668,17141,Ogle,"Ogle, IL"
669,17143,Peoria,"Peoria, IL"
670,17145,Perry,"Perry, IL"
